Prediction_ID,Actual_TEY,Predicted_TEY,Actual_CO,Predicted_CO,Actual_NOX,Predicted_NOX
1,154.88,154.31702,0.87832,1.0214314,60.048,58.76878
2,132.76,133.2819,0.44446,0.7410214,61.635,64.08022
3,108.59,108.9021,5.299,5.5271506,69.073,70.90829
4,160.1,159.84805,0.13127,0.5700783,61.352,66.575645
5,131.03,130.851,1.79,1.8993608,50.45,51.918655
6,134.46,134.0851,1.6633,1.4669158,77.274,77.1985
7,134.68,134.35208,1.4059,2.1161113,65.693,68.81786
8,129.08,128.98892,2.4402,4.7340956,50.775,50.399773
9,164.34,164.7014,2.9008,2.4742799,58.405,57.521103
10,148.72,151.30211,0.83337,1.005154,72.056,65.20966
11,131.86,131.53015,3.5622,3.133637,71.785,66.89238
12,145.9,145.59874,1.5218,1.5255691,52.41,53.24876
13,160.64,159.69711,0.2129,0.5674148,63.968,68.859764
14,122.0,122.53551,6.1245,3.8534818,66.281,63.44055
15,168.38,166.23773,1.2538,1.559369,78.397,62.531628
16,157.1,157.07129,1.828,1.2428455,72.17,69.74348
17,132.93,132.73085,1.2064,1.3109473,56.575,57.51293
18,133.6,133.39009,1.5844,1.8368862,60.601,61.81479
19,147.64,147.21826,1.0679,1.4682583,48.314,54.81053
20,154.87,155.40483,1.0873,1.1525718,75.101,71.31159
21,133.65,133.78487,0.28778,2.0386348,60.38,81.07903
22,133.84,133.98593,0.16125,0.45906928,60.01,62.04406
23,109.06,109.40847,4.9943,4.6896935,60.658,62.206055
24,104.14,103.05126,12.17,10.72987,101.75,103.11909
25,147.3,147.14233,1.5276,1.4783529,52.749,54.92108
26,160.39,160.23041,0.87876,0.79767686,67.208,66.30131
27,117.17,115.61435,29.084,1.908654,81.604,93.71266
28,134.22,134.18599,1.8963,1.6352197,70.738,72.68709
29,124.67,123.42997,1.3193,2.2716186,57.75,58.46097
30,160.76,160.24516,0.48563,1.4967293,68.684,71.876595
31,130.77,131.31088,1.1177,1.6700168,53.64,54.099194
32,123.63,123.80039,1.8851,1.7512625,65.307,65.6276
33,133.31,133.61867,0.82383,1.4405851,62.533,65.27733
34,156.74,156.9917,1.3767,0.8144296,74.456,72.587234
35,148.03,147.95749,1.1573,1.4889156,78.779,68.161125
36,133.69,135.00955,6.1358,0.96712,57.279,61.497242
37,125.29,124.437675,1.9846,2.6270084,73.167,74.09541
38,144.87,142.58167,1.6336,1.9001151,63.429,59.61548
39,145.66,146.10146,1.0462,1.658514,51.736,53.579235
40,105.38,105.800995,3.7093,5.180966,67.793,76.27209
41,145.68,145.54932,0.27929,0.5975153,59.542,58.328205
42,150.2,150.0094,0.96299,0.96186084,45.191,50.232006
43,127.83,129.02074,11.864,3.0460534,82.206,77.48427
44,133.82,134.02632,1.6774,2.282244,80.897,79.058495
45,134.41,134.16798,1.3298,1.5541203,63.526,62.93617
46,130.73,130.33636,3.1877,3.2737703,58.459,57.566242
47,120.27,119.531815,5.6454,3.144833,59.048,54.12786
48,110.78,110.422,3.7118,3.8482685,79.165,78.20165
49,133.01,132.88696,6.8036,2.747944,59.406,60.795425
50,134.08,133.65257,1.7515,1.6366154,60.627,60.88025
